"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Liverpool","Premier League","Harvey Elliott","ENG","MF,FW","21-011",28,6,908,10.1,2,2,4,2,0,0,1,0,1.5,1.5,2.6,4.1,31,80,86,0.2,0.2,0.4,0.2,0.4,0.15,0.26,0.41,0.15,0.41,"https://fbref.com/en/players/b9e1436c/Harvey-Elliott"
"2023-2024","Liverpool","Premier League","Bobby Clark","ENG","MF","19-068",5,1,89,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,3,7,0,0,0,0,0,0.14,0,0.14,0.14,0.14,"https://fbref.com/en/players/73341ace/Bobby-Clark"
"2023-2024","Liverpool","Premier League","Ben Doak","SCO","FW","18-156",1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/733f1a7d/Ben-Doak"
"2023-2024","Liverpool","Premier League","Jayden Danns","ENG","FW","18-090",2,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/003cf4d1/Jayden-Danns"
"2023-2024","Liverpool","Premier League","Owen Beck","WAL","DF","21-250",1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a011a1e9/Owen-Beck"
"2023-2024","Liverpool","Premier League","Thiago Alcantara","ESP","MF","33-004",1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/77e84962/Thiago-Alcantara"
"2023-2024","Liverpool","Premier League","James McConnell","ENG","MF","19-215",3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bf973eeb/James-McConnell"
"2023-2024","Liverpool","Premier League","Kaide Gordon","ENG","FW","19-193",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/19a9cb70/Kaide-Gordon"
"2023-2024","Liverpool","Premier League","Adrian","ESP","GK","37-103",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f76e6b4e/Adrian"
"2023-2024","Liverpool","Premier League","Stefan Bajcetic","ESP","DF","19-176",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/32e8417f/Stefan-Bajcetic"
"2023-2024","Liverpool","Premier League","Luke Chambers","ENG","DF","19-296",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7d6af698/Luke-Chambers"
"2023-2024","Liverpool","Premier League","Lewis Koumas","WAL","MF","18-209",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d77edba6/Lewis-Koumas"
"2023-2024","Liverpool","Premier League","Fabian Mrozek","POL","GK","20-200",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/927eecf9/Fabian-Mrozek"
"2023-2024","Liverpool","Premier League","Amara Nallo","ENG","DF","17-149",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/398a24f6/Amara-Nallo"
"2023-2024","Liverpool","Premier League","Trey Nyoni","ENG","MF","16-290",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1d3b3d77/Trey-Nyoni"
"2023-2024","Liverpool","Premier League","Marcelo Pitaluga","BRA","GK","21-117",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b3cafda8/Marcelo-Pitaluga"
"2023-2024","Liverpool","Premier League","Calum Scanlon","ENG","MF","19-061",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/37739c71/Calum-Scanlon"
