"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Crystal Palace","Premier League","Michael Olise","FRA","FW,MF","22-125",13,9,839,9.3,6,3,9,5,1,1,0,0,3.3,2.5,3.5,6,38,43,88,0.64,0.32,0.97,0.54,0.86,0.35,0.38,0.72,0.26,0.64,"https://fbref.com/en/players/c4486bac/Michael-Olise"
"2023-2024","Crystal Palace","Premier League","Adam Wharton","ENG","MF","19-318",10,9,799,8.9,0,1,1,0,0,0,1,0,0.2,0.2,1.7,1.9,10,39,5,0,0.11,0.11,0,0.11,0.03,0.19,0.21,0.03,0.21,"https://fbref.com/en/players/4b542852/Adam-Wharton"
"2023-2024","Crystal Palace","Premier League","Nathaniel Clyne","ENG","DF,MF","33-010",13,8,811,9,0,0,0,0,0,0,0,0,0,0,0,0.1,8,18,16,0,0,0,0,0,0,0,0.01,0,0.01,"https://fbref.com/en/players/0442183b/Nathaniel-Clyne"
"2023-2024","Crystal Palace","Premier League","Jairo Riedewald","NED","MF,FW","27-219",5,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7a1f2c08/Jairo-Riedewald"
"2023-2024","Crystal Palace","Premier League","Matheus Franca","BRA","MF,FW","20-014",10,1,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12,8,12,0,0.39,0.39,0,0.39,0.14,0.34,0.48,0.14,0.48,"https://fbref.com/en/players/077faf72/Matheus-Franca"
"2023-2024","Crystal Palace","Premier League","Naouirou Ahamada","FRA","MF,FW","22-017",17,0,244,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,17,13,18,0,0,0,0,0,0.15,0.01,0.16,0.15,0.16,"https://fbref.com/en/players/a6c58494/Naouirou-Ahamada"
"2023-2024","Crystal Palace","Premier League","David Ozoh","ENG","MF,DF","18-320",9,0,156,1.7,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d00d45ab/David-Ozoh"
"2023-2024","Crystal Palace","Premier League","Jesurun Rak Sakyi","ENG","MF,FW","21-193",6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,2,18,0,0,0,0,0,0.28,0.1,0.38,0.28,0.38,"https://fbref.com/en/players/45685411/Jesurun-Rak-Sakyi"
"2023-2024","Crystal Palace","Premier League","James Tomkins","ENG","DF","35-017",3,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e7ca0439/James-Tomkins"
"2023-2024","Crystal Palace","Premier League","Remi Matthews","ENG","GK","30-065",1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/27f4f772/Remi-Matthews"
"2023-2024","Crystal Palace","Premier League","Tayo Adaramola","IRL","DF","20-153",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c150b220/Tayo-Adaramola"
"2023-2024","Crystal Palace","Premier League","Malcolm Ebiowei","ENG","MF","20-224",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/fa9fa773/Malcolm-Ebiowei"
"2023-2024","Crystal Palace","Premier League","John-Kymani Gordon","ENG","FW","21-062",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d7e24aa1/John-Kymani-Gordon"
"2023-2024","Crystal Palace","Premier League","Rob Holding","ENG","DF","28-208",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d79a8c87/Rob-Holding"
"2023-2024","Crystal Palace","Premier League","Roshaun Mathurin","ENG","FW","20-083",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c036048e/Roshaun-Mathurin"
"2023-2024","Crystal Palace","Premier League","Ademola Ola-Adebomi","ENG","FW","20-053",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/efacf4fd/Ademola-Ola-Adebomi"
"2023-2024","Crystal Palace","Premier League","Luke Plange","ENG","FW","21-163",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2140e999/Luke-Plange"
"2023-2024","Crystal Palace","Premier League","Jadan Raymond","WAL","MF","20-183",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9ad8d732/Jadan-Raymond"
"2023-2024","Crystal Palace","Premier League","Kaden Rodney","ENG","MF","19-191",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/49375cdd/Kaden-Rodney"
"2023-2024","Crystal Palace","Premier League","Franco Umeh-Chibueze","IRL","MF","19-080",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8e526344/Franco-Umeh-Chibueze"
"2023-2024","Crystal Palace","Premier League","Joseph Whitworth","ENG","GK","20-046",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/3f847d95/Joseph-Whitworth"
