"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL"
"2023-2024","Chelsea","Premier League","Alex Matos","ENG","MF","19-195",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ed383e43/Alex-Matos"
"2023-2024","Chelsea","Premier League","Marcus Bettinelli","ENG","GK","31-327",0,0,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0d85a4e8/Marcus-Bettinelli"
"2023-2024","Chelsea","Premier League","Joshua Acheampong","ENG","DF","17-346",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b7e62e1d/Joshua-Acheampong"
"2023-2024","Chelsea","Premier League","Eddie Beach","WAL","GK","20-189",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7cbd6d68/Eddie-Beach"
"2023-2024","Chelsea","Premier League","Lucas Bergstrom","FIN","GK","21-223",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b59c2a92/Lucas-Bergstrom"
"2023-2024","Chelsea","Premier League","Joshua Brooking","ENG","DF","21-227",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/330f638c/Joshua-Brooking"
"2023-2024","Chelsea","Premier League","Leo Castledine","ENG","MF","18-239",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/1c86192d/Leo-Castledine"
"2023-2024","Chelsea","Premier League","Ollie Harrison","ENG","MF","16-252",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/6ce635b6/Ollie-Harrison"
"2023-2024","Chelsea","Premier League","Bashir Humphreys","ENG","DF","21-031",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d2b32e91/Bashir-Humphreys"
"2023-2024","Chelsea","Premier League","Diego Moreira","POR","MF","19-253",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/12de1b0d/Diego-Moreira"
"2023-2024","Chelsea","Premier League","Ishe Samuels-Smith","ENG","DF","17-315",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/da95fde0/Ishe-Samuels-Smith"
"2023-2024","Chelsea","Premier League","Andrey Santos","BRA","MF","19-348",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dd745366/Andrey-Santos"
"2023-2024","Chelsea","Premier League","Teddy Sharman","ENG","GK","21-087",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7cd31238/Teddy-Sharman"
"2023-2024","Chelsea","Premier League","Ronnie Stutter","ENG","FW","19-100",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e3f9e68a/Ronnie-Stutter"
"2023-2024","Chelsea","Premier League","Jimi Tauriainen","ENG","FW","20-038",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/cac9e583/Jimi-Tauriainen"
