"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Kevin Stöger",7,"AUT","CM","30-027",90,0,0,0,0,3,1,0,0,73,1,0,0,0.1,0.1,0,4,0,50,65,76.9,9,44,4,3,2
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Anthony Losilla",8,"FRA","CM","37-197",45,0,0,0,0,0,0,1,0,24,3,1,1,0,0,0,0,0,14,17,82.4,2,5,0,1,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Cristian Gamboa",2,"CRC","RB","33-334",45,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,12,16,75,1,10,1,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Matúš Bero",19,"SVK","CM","28-017",90,0,0,0,0,0,0,0,0,52,2,0,2,0,0,0,0,0,32,41,78,2,33,0,4,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Maximilian Wittek",32,"GER","WB","28-033",35,0,0,0,0,1,0,0,0,19,0,1,0,0,0,0,0,0,10,17,58.8,0,6,1,1,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Philipp Hofmann",33,"GER","FW","30-177",55,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,11,12,91.7,0,7,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Felix Passlack",15,"GER","WB","25-117",35,0,0,0,0,0,0,0,0,11,1,0,3,0,0,0,0,0,4,6,66.7,0,5,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Noah Loosli",41,"SUI","CB,WB","26-243",55,0,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,21,25,84,1,21,0,1,1
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Bernardo",5,"BRA","LB,CB","28-132",90,0,0,0,0,0,0,0,0,51,3,1,1,0,0,0,0,0,32,38,84.2,1,29,1,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Ivan Ordets",20,"UKR","CB","31-077",90,0,0,0,0,0,0,0,0,39,2,0,3,0,0,0,0,0,20,27,74.1,2,12,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Erhan Mašović",4,"SRB","CB","24-305",90,0,0,0,0,0,0,0,0,41,4,0,2,0,0,0,0,0,22,31,71,1,13,0,0,0
"Fußball-Bundesliga","2023-09-23","Fußball-Bundesliga (Matchweek 5)","Bayern Munich","4-2-3-1",7,4.8,"Eric Maxim Choupo-Moting · 4&rsquor; Harry Kane · 12&rsquor; Matthijs de Ligt · 29&rsquor; Leroy Sané · 38&rsquor; Harry Kane (P) · 54&rsquor; Mathys Tel · 81&rsquor; Harry Kane · 88&rsquor;","0","0","Bochum","3-5-2",0,0.1,"","1","0","https://fbref.com/en/matches/047ad2d7/Bayern-Munich-Bochum-September-23-2023-Bundesliga","Bochum","Away","Manuel Riemann",1,"GER","GK","35-014",90,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,1,0,28,48,58.3,0,34,0,0,0
