"","Date","Home","Away","HomeGoals","AwayGoals"
"152",2010-02-21,"Ajax","Vitesse",4,0
"153",2010-02-21,"Feyenoord","ADO Den Haag",2,2
"154",2010-02-26,"ADO Den Haag","Roda JC",1,2
"155",2010-02-27,"Willem II","VVV-Venlo",2,1
"156",2010-02-27,"Vitesse","AZ Alkmaar",0,3
"157",2010-02-27,"Heerenveen","Heracles Almelo",1,2
"158",2010-02-28,"Ajax","Utrecht",4,0
"159",2010-02-28,"Twente","NEC Nijmegen",2,1
"160",2010-02-28,"Sparta R'dam","NAC Breda",2,2
"161",2010-02-28,"PSV Eindhoven","RKC Waalwijk",5,1
"162",2010-02-28,"Groningen","Feyenoord",2,3
"163",2010-03-06,"AZ Alkmaar","Heerenveen",4,1
"164",2010-03-06,"NAC Breda","PSV Eindhoven",2,1
"165",2010-03-06,"Heracles Almelo","Willem II",3,2
"166",2010-03-06,"ADO Den Haag","Vitesse",1,1
"167",2010-03-07,"Utrecht","NEC Nijmegen",1,0
"168",2010-03-07,"Roda JC","Feyenoord",2,4
"169",2010-03-07,"RKC Waalwijk","Twente",0,1
"170",2010-03-07,"Sparta R'dam","Ajax",0,3
"171",2010-03-07,"Groningen","VVV-Venlo",1,0
"172",2010-03-12,"Twente","ADO Den Haag",3,1
"173",2010-03-13,"AZ Alkmaar","RKC Waalwijk",6,2
"174",2010-03-13,"NAC Breda","Groningen",0,3
"175",2010-03-13,"VVV-Venlo","Utrecht",0,1
"176",2010-03-13,"NEC Nijmegen","Roda JC",0,2
"177",2010-03-14,"Vitesse","Heerenveen",0,1
"178",2010-03-14,"Feyenoord","Heracles Almelo",1,1
"179",2010-03-14,"Willem II","Sparta R'dam",3,1
"180",2010-03-14,"Ajax","PSV Eindhoven",4,1
"181",2010-03-19,"Heerenveen","NEC Nijmegen",4,1
"182",2010-03-20,"Heracles Almelo","NAC Breda",3,0
"183",2010-03-20,"Willem II","Utrecht",0,3
"184",2010-03-20,"PSV Eindhoven","Twente",1,1
"185",2010-03-21,"Sparta R'dam","AZ Alkmaar",0,1
"186",2010-03-21,"Groningen","Roda JC",1,0
"187",2010-03-21,"ADO Den Haag","VVV-Venlo",0,0
"188",2010-03-21,"RKC Waalwijk","Ajax",1,5
"189",2010-03-31,"Feyenoord","Vitesse",2,1
"190",2010-03-26,"NAC Breda","ADO Den Haag",3,0
"191",2010-03-27,"Twente","Sparta R'dam",3,0
"192",2010-03-27,"Roda JC","Heerenveen",4,2
"193",2010-03-27,"Vitesse","Willem II",2,1
"194",2010-03-27,"AZ Alkmaar","Heracles Almelo",3,2
"195",2010-03-28,"Ajax","Groningen",3,0
"196",2010-03-28,"Utrecht","RKC Waalwijk",2,0
"197",2010-03-28,"VVV-Venlo","PSV Eindhoven",2,4
"198",2010-03-28,"NEC Nijmegen","Feyenoord",0,0
"199",2009-08-15,"ADO Den Haag","Twente",0,1
"200",2009-08-15,"Heerenveen","Vitesse",1,0
"201",2009-08-15,"Sparta R'dam","Willem II",2,1
"202",2009-08-15,"RKC Waalwijk","AZ Alkmaar",0,6
"203",2009-08-16,"Groningen","NAC Breda",1,2
"204",2009-08-16,"PSV Eindhoven","Ajax",4,3
