"","Date","Home","Away","HomeGoals","AwayGoals"
"48",2010-05-05,"Houston Dynamo","FC Dallas",0,1
"49",2010-05-05,"Colorado Rapids","LA Galaxy",0,1
"50",2010-05-08,"FC Dallas","D.C. United",1,0
"51",2010-05-08,"Columbus Crew","New England",3,2
"52",2010-05-08,"Toronto FC","Chicago Fire",4,1
"53",2010-05-08,"Chivas USA","Houston Dynamo",0,2
"54",2010-05-08,"Real Salt Lake","Philadelphia",3,0
"55",2010-05-08,"San Jose","NY Red Bulls",4,0
"56",2010-05-08,"Seattle","LA Galaxy",0,4
"57",2010-05-13,"Real Salt Lake","Houston Dynamo",3,1
"58",2010-05-15,"New England","San Jose",0,0
"59",2010-05-15,"D.C. United","Colorado Rapids",0,1
"60",2010-05-15,"KC Wizards","Chicago Fire",2,2
"61",2010-05-15,"Philadelphia","FC Dallas",1,1
"62",2010-05-15,"LA Galaxy","Toronto FC",0,0
"63",2010-05-15,"Columbus Crew","Chivas USA",1,0
"64",2010-05-15,"NY Red Bulls","Seattle",0,1
"65",2010-05-20,"NY Red Bulls","Columbus Crew",1,3
"66",2010-05-20,"FC Dallas","LA Galaxy",0,1
"67",2010-05-22,"Chivas USA","Real Salt Lake",1,2
"68",2010-05-22,"Houston Dynamo","D.C. United",2,0
"69",2010-05-22,"Seattle","San Jose",0,1
"70",2010-05-22,"Toronto FC","New England",1,0
"71",2010-05-23,"KC Wizards","Columbus Crew",0,1
"72",2010-05-27,"Chicago Fire","FC Dallas",1,1
"73",2010-05-29,"Colorado Rapids","Seattle",1,0
"74",2010-05-29,"San Jose","Toronto FC",1,3
"75",2010-05-29,"Real Salt Lake","KC Wizards",4,1
"76",2010-05-29,"Columbus Crew","LA Galaxy",0,2
"77",2010-05-29,"New England","NY Red Bulls",3,2
"78",2010-05-29,"Houston Dynamo","Philadelphia",2,3
"79",2010-05-29,"D.C. United","Chivas USA",3,2
"80",2010-06-02,"NY Red Bulls","Houston Dynamo",2,1
"81",2010-06-02,"San Jose","Columbus Crew",2,2
"82",2010-06-05,"NY Red Bulls","Chivas USA",1,0
"83",2010-06-05,"FC Dallas","San Jose",2,0
"84",2010-06-05,"Toronto FC","KC Wizards",0,0
"85",2010-06-05,"LA Galaxy","Houston Dynamo",4,1
"86",2010-06-05,"Colorado Rapids","Columbus Crew",1,0
"87",2010-06-05,"Chicago Fire","Philadelphia",2,1
"88",2010-06-05,"Seattle","New England",3,0
"89",2010-06-05,"D.C. United","Real Salt Lake",0,0
"90",2010-06-09,"Chicago Fire","Colorado Rapids",2,2
"91",2010-06-09,"Real Salt Lake","LA Galaxy",1,0
"92",2010-06-10,"Seattle","D.C. United",2,3
"93",2010-06-10,"KC Wizards","Philadelphia",2,0
"94",2010-06-25,"Real Salt Lake","San Jose",0,0
"95",2010-06-26,"Chivas USA","FC Dallas",1,2
"96",2010-06-26,"Houston Dynamo","Colorado Rapids",2,2
"97",2010-06-26,"Columbus Crew","D.C. United",2,0
"98",2010-06-26,"KC Wizards","NY Red Bulls",0,3
"99",2010-06-26,"Toronto FC","LA Galaxy",0,0
"100",2010-06-27,"New England","Chicago Fire",0,1
"101",2010-06-27,"Philadelphia","Seattle",3,1
"102",2010-07-01,"Toronto FC","Houston Dynamo",1,1
"103",2010-07-02,"Real Salt Lake","New England",5,0
"104",2010-07-03,"Chivas USA","Philadelphia",1,1
"105",2010-07-03,"FC Dallas","KC Wizards",1,0
"106",2010-07-03,"Columbus Crew","Chicago Fire",2,1
"107",2010-07-03,"San Jose","D.C. United",1,1
"108",2010-07-04,"LA Galaxy","Seattle",3,1
"109",2010-07-04,"Colorado Rapids","NY Red Bulls",1,1
"110",2010-07-08,"Chicago Fire","Real Salt Lake",0,1
"111",2010-07-10,"Houston Dynamo","Columbus Crew",0,0
"112",2010-07-10,"Toronto FC","Colorado Rapids",1,0
"113",2010-07-10,"KC Wizards","Chivas USA",0,2
"114",2010-07-10,"NY Red Bulls","D.C. United",0,0
"115",2010-07-10,"Philadelphia","San Jose",1,2
"116",2010-07-10,"New England","LA Galaxy",2,0
"117",2010-07-11,"Seattle","FC Dallas",1,1
"118",2010-07-14,"Columbus Crew","KC Wizards",0,1
"119",2010-07-15,"D.C. United","Seattle",0,1
"120",2010-07-17,"Columbus Crew","NY Red Bulls",2,0
"121",2010-07-17,"Philadelphia","Toronto FC",2,1
"122",2010-07-17,"FC Dallas","Real Salt Lake",2,0
"123",2010-07-17,"Colorado Rapids","KC Wizards",1,1
"124",2010-07-18,"D.C. United","LA Galaxy",1,2
"125",2010-07-22,"LA Galaxy","San Jose",2,2
"126",2010-07-24,"Real Salt Lake","Chivas USA",1,1
"127",2010-07-24,"Columbus Crew","Houston Dynamo",3,0
"128",2010-07-24,"Toronto FC","FC Dallas",1,1
"129",2010-07-25,"Seattle","Colorado Rapids",2,1
"130",2010-07-31,"Philadelphia","New England",1,1
"131",2010-07-31,"Colorado Rapids","FC Dallas",1,1
"132",2010-07-31,"Houston Dynamo","NY Red Bulls",2,2
"133",2010-07-31,"Real Salt Lake","D.C. United",3,0
"134",2010-07-31,"San Jose","Seattle",0,1
"135",2010-07-31,"KC Wizards","Toronto FC",1,0
"136",2010-07-31,"Chivas USA","Columbus Crew",3,1
"137",2010-08-01,"LA Galaxy","Chicago Fire",2,3
"138",2010-08-05,"Philadelphia","Columbus Crew",1,2
"139",2010-08-07,"Toronto FC","Chivas USA",2,1
"140",2010-08-07,"Colorado Rapids","San Jose",1,0
"141",2010-08-07,"KC Wizards","Real Salt Lake",1,1
"142",2010-08-07,"New England","D.C. United",1,0
"143",2010-08-08,"FC Dallas","Philadelphia",3,1
"144",2010-08-08,"Seattle","Houston Dynamo",2,0
"145",2010-08-08,"Chicago Fire","NY Red Bulls",0,0
"146",2010-08-11,"NY Red Bulls","Toronto FC",1,0
"147",2010-08-11,"Philadelphia","Real Salt Lake",1,1
"148",2010-08-14,"Philadelphia","Colorado Rapids",1,1
"149",2010-08-14,"NY Red Bulls","LA Galaxy",0,1
"150",2010-08-14,"D.C. United","FC Dallas",1,3
"151",2010-08-14,"Chivas USA","Seattle",0,0
"152",2010-08-14,"New England","Houston Dynamo",1,0
"153",2010-08-14,"Real Salt Lake","Columbus Crew",2,0
"154",2010-08-14,"San Jose","KC Wizards",1,0
"155",2010-08-18,"Chicago Fire","New England",2,1
"156",2010-08-21,"FC Dallas","Chivas USA",1,0
"157",2010-08-21,"KC Wizards","New England",4,1
"158",2010-08-21,"Columbus Crew","Colorado Rapids",3,1
"159",2010-08-21,"Toronto FC","NY Red Bulls",1,4
"160",2010-08-21,"San Jose","LA Galaxy",1,0
"161",2010-08-21,"Houston Dynamo","Chicago Fire",4,3
"162",2010-08-22,"D.C. United","Philadelphia",2,0
"163",2010-08-28,"Columbus Crew","FC Dallas",0,0
"164",2010-08-28,"Toronto FC","Real Salt Lake",0,0
"165",2010-08-28,"New England","Philadelphia",1,2
"166",2010-08-28,"LA Galaxy","KC Wizards",0,2
"167",2010-08-28,"Colorado Rapids","Houston Dynamo",3,0
"168",2010-08-28,"Seattle","Chicago Fire",2,1
"169",2010-08-28,"NY Red Bulls","San Jose",2,0
"170",2010-08-29,"Chivas USA","D.C. United",1,0
"171",2010-09-04,"FC Dallas","Toronto FC",1,0
"172",2010-09-04,"New England","Seattle",3,1
"173",2010-09-04,"Chicago Fire","LA Galaxy",1,1
"174",2010-09-04,"D.C. United","Columbus Crew",0,1
"175",2010-09-04,"Philadelphia","KC Wizards",1,1
"176",2010-09-04,"Colorado Rapids","Chivas USA",3,0
"177",2010-09-04,"Real Salt Lake","NY Red Bulls",1,0
"178",2010-09-05,"Houston Dynamo","San Jose",1,2
"179",2010-09-08,"Chicago Fire","Toronto FC",0,0
"180",2010-09-09,"Seattle","Real Salt Lake",0,0
"181",2010-09-10,"Chivas USA","New England",2,0
"182",2010-09-11,"Toronto FC","D.C. United",0,1
"183",2010-09-11,"San Jose","FC Dallas",0,0
"184",2010-09-11,"Philadelphia","Chicago Fire",1,0
"185",2010-09-11,"LA Galaxy","Columbus Crew",3,1
"186",2010-09-11,"NY Red Bulls","Colorado Rapids",3,1
"187",2010-09-15,"San Jose","Philadelphia",1,0
"188",2010-09-16,"FC Dallas","NY Red Bulls",2,2
"189",2010-09-18,"Colorado Rapids","New England",3,0
"190",2010-09-18,"Houston Dynamo","Toronto FC",1,2
"191",2010-09-18,"Real Salt Lake","Chicago Fire",1,0
"192",2010-09-18,"LA Galaxy","D.C. United",2,1
"193",2010-09-18,"Columbus Crew","Seattle",0,4
"194",2010-09-19,"Chivas USA","KC Wizards",0,2
"195",2010-09-22,"FC Dallas","New England",2,2
"196",2010-09-22,"KC Wizards","Houston Dynamo",4,3
"197",2010-09-24,"LA Galaxy","NY Red Bulls",0,2
"198",2010-09-25,"Real Salt Lake","Colorado Rapids",1,1
"199",2010-09-25,"New England","Columbus Crew",2,2
"200",2010-09-25,"D.C. United","Houston Dynamo",1,3
"201",2010-09-25,"Toronto FC","San Jose",2,3
"202",2010-09-25,"Philadelphia","Chivas USA",3,0
"203",2010-09-25,"KC Wizards","FC Dallas",1,3
"204",2010-09-25,"Chicago Fire","Seattle",0,1
"205",2010-09-29,"Colorado Rapids","Philadelphia",4,1
"206",2010-09-29,"San Jose","Chicago Fire",0,3
"207",2010-10-02,"NY Red Bulls","KC Wizards",1,0
"208",2010-10-02,"Colorado Rapids","D.C. United",0,1
"209",2010-10-02,"FC Dallas","Chicago Fire",3,0
"210",2010-10-02,"Seattle","Toronto FC",3,2
"211",2010-10-02,"New England","Real Salt Lake",1,2
"212",2010-10-02,"Philadelphia","Houston Dynamo",1,1
"213",2010-10-02,"Columbus Crew","San Jose",0,0
"214",2010-10-03,"Chivas USA","LA Galaxy",1,2
"215",2010-10-07,"Philadelphia","LA Galaxy",0,1
"216",2010-10-08,"Chicago Fire","Columbus Crew",2,0
"217",2010-10-09,"D.C. United","San Jose",0,2
"218",2010-10-09,"KC Wizards","Seattle",1,2
"219",2010-10-09,"NY Red Bulls","Real Salt Lake",0,0
"220",2010-10-09,"FC Dallas","Colorado Rapids",2,2
"221",2010-10-09,"Chivas USA","Toronto FC",3,0
"222",2010-10-10,"Houston Dynamo","New England",1,2
"223",2010-10-12,"Chicago Fire","KC Wizards",0,2
"224",2010-10-15,"Seattle","Chivas USA",2,1
"225",2010-10-16,"New England","KC Wizards",1,0
"226",2010-10-16,"Toronto FC","Columbus Crew",2,2
"227",2010-10-16,"Chicago Fire","D.C. United",0,0
"228",2010-10-16,"LA Galaxy","Colorado Rapids",1,3
"229",2010-10-16,"Real Salt Lake","FC Dallas",2,0
"230",2010-10-16,"Philadelphia","NY Red Bulls",2,1
"231",2010-10-16,"San Jose","Houston Dynamo",0,1
"232",2010-10-20,"San Jose","Chivas USA",3,0
"233",2010-10-21,"NY Red Bulls","New England",2,0
"234",2010-10-23,"KC Wizards","San Jose",4,1
"235",2010-10-23,"Colorado Rapids","Real Salt Lake",2,2
"236",2010-10-23,"Houston Dynamo","Seattle",2,1
"237",2010-10-23,"D.C. United","Toronto FC",2,3
"238",2010-10-23,"Chivas USA","Chicago Fire",1,4
"239",2010-10-24,"LA Galaxy","FC Dallas",2,1
"240",2010-10-24,"Columbus Crew","Philadelphia",3,1
"241",2010-10-28,"Colorado Rapids","Columbus Crew",1,0
"242",2010-10-30,"FC Dallas","Real Salt Lake",2,1
"243",2010-10-30,"San Jose","NY Red Bulls",0,1
"244",2010-10-31,"Seattle","LA Galaxy",0,1
"245",2010-11-04,"NY Red Bulls","San Jose",1,3
"246",2010-11-06,"Columbus Crew","Colorado Rapids",2,2
"247",2010-11-06,"Real Salt Lake","FC Dallas",1,1
"248",2010-11-07,"LA Galaxy","Seattle",2,1
"249",2010-11-13,"Colorado Rapids","San Jose",1,0
"250",2010-11-14,"LA Galaxy","FC Dallas",0,3
"251",2010-11-21,"FC Dallas","Colorado Rapids",1,2
"252",2011-03-15,"Seattle","LA Galaxy",0,1
"253",2011-03-19,"NY Red Bulls","Seattle",1,0
"254",2011-03-19,"Colorado Rapids","Portland Timbers",3,1
"255",2011-03-19,"Chivas USA","Sporting KC",2,3
"256",2011-03-19,"Houston Dynamo","Philadelphia",0,1
"257",2011-03-19,"Vancouver","Toronto FC",4,2
"258",2011-03-19,"D.C. United","Columbus Crew",3,1
"259",2011-03-19,"FC Dallas","Chicago Fire",1,1
"260",2011-03-19,"San Jose","Real Salt Lake",0,1
"261",2011-03-20,"LA Galaxy","New England",1,1
"262",2011-03-25,"Seattle","Houston Dynamo",1,1
"263",2011-03-26,"New England","D.C. United",2,1
"264",2011-03-26,"Toronto FC","Portland Timbers",2,0
"265",2011-03-26,"Chivas USA","Colorado Rapids",0,1
"266",2011-03-26,"Philadelphia","Vancouver",1,0
"267",2011-03-26,"FC Dallas","San Jose",0,2
"268",2011-03-26,"Real Salt Lake","LA Galaxy",4,1
"269",2011-03-26,"Columbus Crew","NY Red Bulls",0,0
"270",2011-03-26,"Chicago Fire","Sporting KC",3,2
"271",2011-04-01,"Columbus Crew","FC Dallas",2,0
"272",2011-04-02,"San Jose","Seattle",2,2
"273",2011-04-02,"New England","Portland Timbers",1,1
"274",2011-04-02,"Toronto FC","Chivas USA",1,1
"275",2011-04-02,"LA Galaxy","Philadelphia",1,0
"276",2011-04-02,"Vancouver","Sporting KC",3,3
"277",2011-04-02,"NY Red Bulls","Houston Dynamo",1,1
"278",2011-04-03,"Colorado Rapids","D.C. United",4,1
"279",2011-04-06,"Vancouver","New England",1,1
"280",2011-04-08,"FC Dallas","Colorado Rapids",3,0
"281",2011-04-09,"New England","Real Salt Lake",0,2
"282",2011-04-09,"Chivas USA","Columbus Crew",0,0
"283",2011-04-09,"Seattle","Chicago Fire",2,1
"284",2011-04-09,"San Jose","Toronto FC",1,1
"285",2011-04-09,"D.C. United","LA Galaxy",1,1
"286",2011-04-09,"Philadelphia","NY Red Bulls",1,0
"287",2011-04-10,"Houston Dynamo","Vancouver",3,1
"288",2011-04-13,"Toronto FC","LA Galaxy",0,0
"289",2011-04-13,"Real Salt Lake","Colorado Rapids",1,0
"290",2011-04-14,"Portland Timbers","Chicago Fire",4,2
"291",2011-04-16,"Toronto FC","D.C. United",0,3
"292",2011-04-16,"Columbus Crew","Sporting KC",1,0
"293",2011-04-16,"NY Red Bulls","San Jose",3,0
"294",2011-04-16,"Philadelphia","Seattle",1,1
"295",2011-04-16,"Vancouver","Chivas USA",0,0
"296",2011-04-17,"Portland Timbers","FC Dallas",3,2
"297",2011-04-17,"Chicago Fire","LA Galaxy",1,2
"298",2011-04-17,"Houston Dynamo","New England",1,0
"299",2011-04-21,"D.C. United","NY Red Bulls",0,4
"300",2011-04-22,"Colorado Rapids","Seattle",0,1
"301",2011-04-23,"Toronto FC","Columbus Crew",1,1
"302",2011-04-23,"San Jose","Chivas USA",1,2
"303",2011-04-23,"Vancouver","FC Dallas",1,2
"304",2011-04-23,"Chicago Fire","Houston Dynamo",1,1
"305",2011-04-23,"New England","Sporting KC",3,2
"306",2011-04-23,"LA Galaxy","Portland Timbers",3,0
"307",2011-04-29,"Houston Dynamo","D.C. United",4,1
"308",2011-04-30,"Portland Timbers","Real Salt Lake",1,0
"309",2011-04-30,"NY Red Bulls","Sporting KC",1,0
"310",2011-04-30,"Philadelphia","San Jose",1,0
"311",2011-04-30,"Chivas USA","New England",3,0
"312",2011-04-30,"Colorado Rapids","Chicago Fire",1,1
"313",2011-04-30,"Seattle","Toronto FC",3,0
"314",2011-04-30,"Columbus Crew","Vancouver",2,1
"315",2011-05-01,"FC Dallas","LA Galaxy",2,1
"316",2011-05-04,"D.C. United","Seattle",2,1
"317",2011-05-04,"Houston Dynamo","Colorado Rapids",1,2
"318",2011-05-06,"Portland Timbers","Philadelphia",1,0
"319",2011-05-07,"Toronto FC","Houston Dynamo",2,1
"320",2011-05-07,"New England","Colorado Rapids",0,0
"321",2011-05-07,"Chicago Fire","Vancouver",0,0
"322",2011-05-07,"Real Salt Lake","Chivas USA",1,0
"323",2011-05-07,"LA Galaxy","NY Red Bulls",1,1
"324",2011-05-07,"D.C. United","FC Dallas",0,0
"325",2011-05-07,"Columbus Crew","Seattle",1,1
"326",2011-05-11,"Vancouver","San Jose",1,1
"327",2011-05-11,"Philadelphia","LA Galaxy",1,1
"328",2011-05-11,"FC Dallas","Toronto FC",1,0
"329",2011-05-14,"San Jose","Columbus Crew",3,0
"330",2011-05-14,"D.C. United","Colorado Rapids",1,1
"331",2011-05-14,"Toronto FC","Chicago Fire",2,2
"332",2011-05-14,"New England","Vancouver",1,0
"333",2011-05-14,"Seattle","Portland Timbers",1,1
"334",2011-05-14,"LA Galaxy","Sporting KC",4,1
"335",2011-05-14,"Real Salt Lake","Houston Dynamo",0,0
"336",2011-05-14,"FC Dallas","Philadelphia",2,0
"337",2011-05-15,"NY Red Bulls","Chivas USA",2,3
"338",2011-05-21,"Houston Dynamo","NY Red Bulls",2,2
"339",2011-05-21,"Portland Timbers","Columbus Crew",1,0
"340",2011-05-21,"San Jose","New England",2,1
"341",2011-05-21,"Philadelphia","Chicago Fire",2,1
"342",2011-05-21,"Chivas USA","LA Galaxy",0,1
"343",2011-05-21,"Seattle","Sporting KC",1,0
"344",2011-05-22,"Colorado Rapids","Toronto FC",0,0
"345",2011-05-22,"FC Dallas","Real Salt Lake",0,0
"346",2011-05-25,"Seattle","FC Dallas",0,1
"347",2011-05-25,"LA Galaxy","Houston Dynamo",1,0
"348",2011-05-25,"NY Red Bulls","Colorado Rapids",2,2
"349",2011-05-28,"Real Salt Lake","Seattle",1,2
"350",2011-05-28,"Toronto FC","Philadelphia",2,6
"351",2011-05-28,"Columbus Crew","Chivas USA",3,3
"352",2011-05-28,"New England","LA Galaxy",0,1
"353",2011-05-28,"Houston Dynamo","FC Dallas",2,2
"354",2011-05-28,"Vancouver","NY Red Bulls",1,1
"355",2011-05-28,"Chicago Fire","San Jose",2,2
"356",2011-05-28,"Colorado Rapids","Sporting KC",1,1
"357",2011-05-29,"Portland Timbers","D.C. United",2,3
"358",2011-06-01,"Chivas USA","Vancouver",1,1
"359",2011-06-03,"LA Galaxy","D.C. United",0,0
"360",2011-06-04,"Colorado Rapids","Philadelphia",1,1
"361",2011-06-04,"San Jose","Houston Dynamo",2,0
"362",2011-06-04,"NY Red Bulls","Columbus Crew",1,1
"363",2011-06-04,"Chivas USA","Portland Timbers",1,0
"364",2011-06-04,"Chicago Fire","Seattle",0,0
"365",2011-06-04,"Toronto FC","Sporting KC",0,0
"366",2011-06-04,"FC Dallas","New England",1,0
"367",2011-06-04,"Real Salt Lake","Vancouver",2,0
"368",2011-06-08,"Columbus Crew","Real Salt Lake",2,1
"369",2011-06-09,"Sporting KC","Chicago Fire",0,0
"370",2011-06-10,"NY Red Bulls","New England",2,1
"371",2011-06-11,"Seattle","Vancouver",2,2
"372",2011-06-11,"D.C. United","San Jose",2,4
"373",2011-06-11,"Philadelphia","Real Salt Lake",1,1
"374",2011-06-11,"Portland Timbers","Colorado Rapids",0,1
"375",2011-06-11,"LA Galaxy","Toronto FC",2,2
"376",2011-06-11,"Houston Dynamo","Chivas USA",2,1
"377",2011-06-12,"FC Dallas","Sporting KC",1,4
"378",2011-06-12,"Columbus Crew","Chicago Fire",0,1
"379",2011-06-15,"New England","Toronto FC",0,0
"380",2011-06-17,"Sporting KC","San Jose",1,0
"381",2011-06-18,"Chivas USA","FC Dallas",1,2
"382",2011-06-18,"Colorado Rapids","LA Galaxy",1,3
"383",2011-06-18,"Houston Dynamo","Columbus Crew",0,2
"384",2011-06-18,"Vancouver","Philadelphia",1,0
"385",2011-06-18,"New England","Chicago Fire",1,1
"386",2011-06-18,"Real Salt Lake","D.C. United",1,1
"387",2011-06-18,"Toronto FC","Seattle",0,1
"388",2011-06-19,"Portland Timbers","NY Red Bulls",3,3
"389",2011-06-22,"Chicago Fire","Real Salt Lake",0,0
"390",2011-06-22,"Philadelphia","Sporting KC",0,0
"391",2011-06-23,"Seattle","NY Red Bulls",4,2
"392",2011-06-25,"Sporting KC","Vancouver",2,1
"393",2011-06-25,"Philadelphia","Chivas USA",3,2
"394",2011-06-25,"D.C. United","Houston Dynamo",2,2
"395",2011-06-25,"San Jose","LA Galaxy",0,0
"396",2011-06-25,"Real Salt Lake","Toronto FC",3,1
"397",2011-06-25,"FC Dallas","Portland Timbers",4,0
"398",2011-06-26,"Columbus Crew","Colorado Rapids",4,1
"399",2011-06-26,"Seattle","New England",2,1
"400",2011-06-26,"Chicago Fire","NY Red Bulls",1,1
"401",2011-06-29,"Toronto FC","Vancouver",1,0
"402",2011-07-02,"Chivas USA","Chicago Fire",1,1
"403",2011-07-02,"FC Dallas","Columbus Crew",2,0
"404",2011-07-02,"D.C. United","Philadelphia",2,2
"405",2011-07-02,"Portland Timbers","Sporting KC",1,2
"406",2011-07-02,"San Jose","NY Red Bulls",2,2
"407",2011-07-03,"Colorado Rapids","Houston Dynamo",0,0
"408",2011-07-04,"LA Galaxy","Seattle",0,0
"409",2011-07-04,"Real Salt Lake","New England",3,3
"410",2011-07-06,"Sporting KC","Colorado Rapids",1,1
"411",2011-07-06,"NY Red Bulls","Toronto FC",5,0
"412",2011-07-06,"Chivas USA","San Jose",2,0
"413",2011-07-06,"Vancouver","Columbus Crew",0,1
"414",2011-07-09,"LA Galaxy","Chicago Fire",2,1
"415",2011-07-09,"NY Red Bulls","D.C. United",0,1
"416",2011-07-09,"Colorado Rapids","Vancouver",2,1
"417",2011-07-09,"San Jose","Philadelphia",0,0
"418",2011-07-09,"Houston Dynamo","Toronto FC",2,0
"419",2011-07-09,"Sporting KC","Chivas USA",1,1
"420",2011-07-09,"Real Salt Lake","FC Dallas",2,0
"421",2011-07-10,"Portland Timbers","Seattle",2,3
"422",2011-07-16,"Chivas USA","NY Red Bulls",0,0
"423",2011-07-16,"FC Dallas","D.C. United",0,0
"424",2011-07-16,"Columbus Crew","San Jose",0,0
"425",2011-07-16,"Houston Dynamo","Sporting KC",1,1
"426",2011-07-16,"Chicago Fire","Portland Timbers",0,1
"427",2011-07-16,"Seattle","Colorado Rapids",4,3
"428",2011-07-17,"New England","Philadelphia",0,3
"429",2011-07-20,"D.C. United","New England",0,1
"430",2011-07-20,"Colorado Rapids","NY Red Bulls",4,1
"431",2011-07-20,"San Jose","Vancouver",2,2
"432",2011-07-20,"Toronto FC","FC Dallas",0,1
"433",2011-07-20,"LA Galaxy","Columbus Crew",1,0
"434",2011-07-23,"Real Salt Lake","San Jose",4,0
"435",2011-07-23,"NY Red Bulls","FC Dallas",2,2
"436",2011-07-23,"Columbus Crew","Portland Timbers",1,0
"437",2011-07-23,"Chivas USA","Houston Dynamo",3,0
"438",2011-07-23,"Sporting KC","Toronto FC",4,2
"439",2011-07-23,"Colorado Rapids","New England",2,2
"440",2011-07-29,"Philadelphia","Colorado Rapids",1,2
"441",2011-07-30,"Houston Dynamo","Seattle",3,1
"442",2011-07-30,"Vancouver","LA Galaxy",0,4
"443",2011-07-30,"Portland Timbers","Toronto FC",2,2
"444",2011-07-30,"Real Salt Lake","Columbus Crew",0,2
"445",2011-07-30,"San Jose","D.C. United",0,2
"446",2011-07-30,"Sporting KC","New England",1,1
"447",2011-07-31,"FC Dallas","Chivas USA",1,0
"448",2011-08-03,"Portland Timbers","LA Galaxy",3,0
"449",2011-08-03,"Sporting KC","Real Salt Lake",2,0
"450",2011-08-03,"Chicago Fire","Philadelphia",1,1
"451",2011-08-05,"Colorado Rapids","Columbus Crew",2,0
"452",2011-08-06,"New England","Chivas USA",2,3
"453",2011-08-06,"Real Salt Lake","NY Red Bulls",3,0
"454",2011-08-06,"Sporting KC","Seattle",1,2
"455",2011-08-06,"San Jose","Portland Timbers",1,1
"456",2011-08-06,"Philadelphia","Houston Dynamo",1,1
"457",2011-08-06,"D.C. United","Toronto FC",3,3
"458",2011-08-06,"LA Galaxy","FC Dallas",3,1
"459",2011-08-07,"Vancouver","Chicago Fire",4,2
"460",2011-08-13,"San Jose","Colorado Rapids",1,2
"461",2011-08-13,"Seattle","Chivas USA",0,0
"462",2011-08-13,"NY Red Bulls","Chicago Fire",2,2
"463",2011-08-13,"Toronto FC","Real Salt Lake",1,0
"464",2011-08-13,"Philadelphia","FC Dallas",2,2
"465",2011-08-13,"D.C. United","Vancouver",4,0
"466",2011-08-13,"Columbus Crew","New England",3,1
"467",2011-08-14,"Houston Dynamo","Portland Timbers",2,1
"468",2011-08-17,"New England","Houston Dynamo",1,1
"469",2011-08-17,"Sporting KC","Portland Timbers",3,1
"470",2011-08-18,"Chicago Fire","D.C. United",1,1
"471",2011-08-20,"Portland Timbers","Vancouver",2,1
"472",2011-08-20,"Houston Dynamo","Real Salt Lake",3,2
"473",2011-08-20,"Columbus Crew","Philadelphia",2,1
"474",2011-08-20,"FC Dallas","Seattle",0,1
"475",2011-08-20,"Colorado Rapids","Chivas USA",2,2
"476",2011-08-20,"New England","NY Red Bulls",2,2
