"","Date","Home","Away"
"166",2023-04-02,"Heerenveen","Volendam"
"167",2023-04-02,"Emmen","NEC Nijmegen"
"168",2023-04-02,"Twente","Cambuur"
"169",2023-04-02,"Feyenoord","RKC Waalwijk"
"170",2023-04-02,"Vitesse","Go Ahead Eag"
"171",2023-04-02,"Groningen","Utrecht"
"172",2023-04-09,"Sparta R'dam","Heerenveen"
"173",2023-04-09,"Cambuur","Feyenoord"
"174",2023-04-09,"Volendam","PSV Eindhoven"
"175",2023-04-09,"Utrecht","Twente"
"176",2023-04-09,"RKC Waalwijk","Groningen"
"177",2023-04-09,"Excelsior","Go Ahead Eag"
"178",2023-04-09,"NEC Nijmegen","Vitesse"
"179",2023-04-09,"Fortuna Sittard","AZ Alkmaar"
"180",2023-04-09,"Ajax","Emmen"
"181",2022-08-31,"PSV Eindhoven","Volendam"
"182",2022-08-31,"Twente","Excelsior"
"183",2022-09-01,"AZ Alkmaar","NEC Nijmegen"
"184",2023-04-16,"Heerenveen","Emmen"
"185",2023-04-16,"Vitesse","Excelsior"
"186",2023-04-16,"Volendam","Cambuur"
"187",2023-04-16,"Groningen","NEC Nijmegen"
"188",2023-04-16,"Twente","Sparta R'dam"
"189",2023-04-16,"PSV Eindhoven","Ajax"
"190",2023-04-16,"Feyenoord","Utrecht"
"191",2023-04-16,"Go Ahead Eag","Fortuna Sittard"
"192",2023-04-16,"AZ Alkmaar","RKC Waalwijk"
"193",2023-04-23,"NEC Nijmegen","Heerenveen"
"194",2023-04-23,"Go Ahead Eag","Groningen"
"195",2023-04-23,"Cambuur","Utrecht"
"196",2023-04-23,"RKC Waalwijk","Volendam"
"197",2023-04-23,"Excelsior","Feyenoord"
"198",2023-04-23,"Emmen","Twente"
"199",2023-04-23,"Sparta R'dam","PSV Eindhoven"
"200",2023-04-23,"Fortuna Sittard","Vitesse"
"201",2023-04-23,"Ajax","AZ Alkmaar"
"202",2023-04-30,"Volendam","Sparta R'dam"
"203",2023-04-30,"Vitesse","Cambuur"
"204",2023-04-30,"Twente","NEC Nijmegen"
"205",2023-04-30,"Utrecht","RKC Waalwijk"
"206",2023-04-30,"Groningen","Ajax"
"207",2023-04-30,"PSV Eindhoven","Fortuna Sittard"
"208",2023-04-30,"Heerenveen","Excelsior"
"209",2023-04-30,"Feyenoord","Go Ahead Eag"
"210",2023-04-30,"AZ Alkmaar","Emmen"
"211",2023-05-21,"Excelsior","Fortuna Sittard"
"212",2023-05-21,"Go Ahead Eag","Volendam"
"213",2023-05-21,"Sparta R'dam","Cambuur"
"214",2023-05-21,"Emmen","Feyenoord"
"215",2023-05-21,"RKC Waalwijk","Twente"
"216",2023-05-21,"NEC Nijmegen","AZ Alkmaar"
"217",2023-05-21,"Vitesse","Groningen"
"218",2023-05-21,"PSV Eindhoven","Heerenveen"
"219",2023-05-21,"Ajax","Utrecht"
"220",2023-05-28,"Feyenoord","Vitesse"
"221",2023-05-28,"Heerenveen","Go Ahead Eag"
"222",2023-05-28,"Utrecht","Emmen"
"223",2023-05-28,"Cambuur","RKC Waalwijk"
"224",2023-05-28,"Groningen","Sparta R'dam"
"225",2023-05-28,"Fortuna Sittard","NEC Nijmegen"
"226",2023-05-28,"Volendam","Excelsior"
"227",2023-05-28,"AZ Alkmaar","PSV Eindhoven"
"228",2023-05-28,"Twente","Ajax"
"229",2022-09-02,"Fortuna Sittard","Utrecht"
"230",2022-09-03,"Ajax","Cambuur"
"231",2022-09-03,"Twente","PSV Eindhoven"
"232",2022-09-03,"Sparta R'dam","Volendam"
"233",2022-09-03,"Go Ahead Eag","Feyenoord"
"234",2022-09-04,"RKC Waalwijk","Excelsior"
"235",2022-09-04,"Heerenveen","NEC Nijmegen"
"236",2022-09-04,"Emmen","AZ Alkmaar"
"237",2022-09-04,"Groningen","Vitesse"
"238",2022-09-09,"Volendam","Go Ahead Eag"
"239",2022-09-10,"NEC Nijmegen","Fortuna Sittard"
"240",2022-09-10,"Ajax","Heerenveen"
"241",2022-09-10,"Excelsior","Emmen"
"242",2022-09-10,"PSV Eindhoven","RKC Waalwijk"
"243",2022-09-11,"Utrecht","Vitesse"
"244",2022-09-11,"AZ Alkmaar","Twente"
"245",2022-09-11,"Cambuur","Groningen"
"246",2022-09-11,"Feyenoord","Sparta R'dam"
"247",2022-09-16,"Utrecht","NEC Nijmegen"
"248",2022-09-17,"Sparta R'dam","Groningen"
"249",2022-09-17,"Vitesse","Volendam"
"250",2022-09-17,"RKC Waalwijk","Cambuur"
"251",2022-09-17,"Fortuna Sittard","Excelsior"
"252",2022-09-18,"Go Ahead Eag","Emmen"
"253",2022-09-18,"Heerenveen","Twente"
"254",2022-09-18,"PSV Eindhoven","Feyenoord"
"255",2022-09-18,"AZ Alkmaar","Ajax"
"256",2022-10-01,"Cambuur","PSV Eindhoven"
"257",2022-10-01,"Excelsior","Utrecht"
"258",2022-10-01,"Ajax","Go Ahead Eag"
"259",2022-10-01,"Twente","Vitesse"
"260",2022-10-01,"Groningen","AZ Alkmaar"
"261",2022-10-02,"Emmen","Heerenveen"
"262",2022-10-02,"Fortuna Sittard","Volendam"
"263",2022-10-02,"NEC Nijmegen","Feyenoord"
"264",2022-10-02,"RKC Waalwijk","Sparta R'dam"
"265",2022-10-07,"Groningen","RKC Waalwijk"
"266",2022-10-08,"Volendam","Ajax"
"267",2022-10-08,"Sparta R'dam","Emmen"
"268",2022-10-08,"NEC Nijmegen","Excelsior"
"269",2022-10-08,"Heerenveen","PSV Eindhoven"
"270",2022-10-09,"Go Ahead Eag","Cambuur"
"271",2022-10-09,"Vitesse","Fortuna Sittard"
"272",2022-10-09,"Feyenoord","Twente"
"273",2022-10-09,"Utrecht","AZ Alkmaar"
