"","Date","Time","Home","Away"
"102",2024-02-10,"","Stuttgart","Mainz 05"
"103",2024-02-10,"","Hoffenheim","Köln"
"104",2024-02-10,"","M'Gladbach","Darmstadt 98"
"105",2024-02-10,"","Eint Frankfurt","Bochum"
"106",2024-02-10,"","Leverkusen","Bayern Munich"
"107",2024-02-10,"","Dortmund","Freiburg"
"108",2024-02-10,"","Augsburg","RB Leipzig"
"109",2024-02-17,"","Mainz 05","Augsburg"
"110",2024-02-17,"","Hoffenheim","Union Berlin"
"111",2024-02-17,"","Köln","Werder Bremen"
"112",2024-02-17,"","RB Leipzig","M'Gladbach"
"113",2024-02-17,"","Bochum","Bayern Munich"
"114",2024-02-17,"","Darmstadt 98","Stuttgart"
"115",2024-02-17,"","Freiburg","Eint Frankfurt"
"116",2024-02-17,"","Wolfsburg","Dortmund"
"117",2024-02-17,"","Heidenheim","Leverkusen"
"118",2024-02-24,"","Union Berlin","Heidenheim"
"119",2024-02-24,"","Bayern Munich","RB Leipzig"
"120",2024-02-24,"","Werder Bremen","Darmstadt 98"
"121",2024-02-24,"","Eint Frankfurt","Wolfsburg"
"122",2024-02-24,"","M'Gladbach","Bochum"
"123",2024-02-24,"","Stuttgart","Köln"
"124",2024-02-24,"","Augsburg","Freiburg"
"125",2024-02-24,"","Dortmund","Hoffenheim"
"126",2024-02-24,"","Leverkusen","Mainz 05"
"127",2024-03-02,"","Hoffenheim","Werder Bremen"
"128",2024-03-02,"","Wolfsburg","Stuttgart"
"129",2024-03-02,"","Bochum","RB Leipzig"
"130",2024-03-02,"","Heidenheim","Eint Frankfurt"
"131",2024-03-02,"","Köln","Leverkusen"
"132",2024-03-02,"","Mainz 05","M'Gladbach"
"133",2024-03-02,"","Union Berlin","Dortmund"
"134",2024-03-02,"","Darmstadt 98","Augsburg"
"135",2024-03-02,"","Freiburg","Bayern Munich"
"136",2024-03-09,"","Bayern Munich","Mainz 05"
"137",2024-03-09,"","Werder Bremen","Dortmund"
"138",2024-03-09,"","Bochum","Freiburg"
"139",2024-03-09,"","RB Leipzig","Darmstadt 98"
"140",2024-03-09,"","Stuttgart","Union Berlin"
"141",2024-03-09,"","M'Gladbach","Köln"
"142",2024-03-09,"","Leverkusen","Wolfsburg"
"143",2024-03-09,"","Eint Frankfurt","Hoffenheim"
"144",2024-03-09,"","Augsburg","Heidenheim"
"145",2024-03-16,"","Wolfsburg","Augsburg"
"146",2024-03-16,"","Hoffenheim","Stuttgart"
"147",2024-03-16,"","Freiburg","Leverkusen"
"148",2024-03-16,"","Heidenheim","M'Gladbach"
"149",2024-03-16,"","Union Berlin","Werder Bremen"
"150",2024-03-16,"","Mainz 05","Bochum"
"151",2024-03-16,"","Köln","RB Leipzig"
"152",2024-03-16,"","Darmstadt 98","Bayern Munich"
"153",2024-03-16,"","Dortmund","Eint Frankfurt"
"154",2024-03-30,"","Augsburg","Köln"
"155",2024-03-30,"","Werder Bremen","Wolfsburg"
"156",2024-03-30,"","Bayern Munich","Dortmund"
"157",2024-03-30,"","Eint Frankfurt","Union Berlin"
"158",2024-03-30,"","Bochum","Darmstadt 98"
"159",2024-03-30,"","RB Leipzig","Mainz 05"
"160",2024-03-30,"","Stuttgart","Heidenheim"
"161",2024-03-30,"","Leverkusen","Hoffenheim"
"162",2024-03-30,"","M'Gladbach","Freiburg"
"163",2024-04-06,"","Freiburg","RB Leipzig"
"164",2024-04-06,"","Wolfsburg","M'Gladbach"
"165",2024-04-06,"","Hoffenheim","Augsburg"
"166",2024-04-06,"","Dortmund","Stuttgart"
"167",2024-04-06,"","Union Berlin","Leverkusen"
"168",2024-04-06,"","Eint Frankfurt","Werder Bremen"
"169",2024-04-06,"","Köln","Bochum"
"170",2024-04-06,"","Mainz 05","Darmstadt 98"
"171",2024-04-06,"","Heidenheim","Bayern Munich"
"172",2024-04-13,"","M'Gladbach","Dortmund"
"173",2024-04-13,"","Mainz 05","Hoffenheim"
"174",2024-04-13,"","Bochum","Heidenheim"
"175",2024-04-13,"","Bayern Munich","Köln"
"176",2024-04-13,"","Darmstadt 98","Freiburg"
"177",2024-04-13,"","Stuttgart","Eint Frankfurt"
"178",2024-04-13,"","Augsburg","Union Berlin"
"179",2024-04-13,"","Leverkusen","Werder Bremen"
"180",2024-04-13,"","RB Leipzig","Wolfsburg"
"181",2024-04-20,"","Wolfsburg","Bochum"
"182",2024-04-20,"","Dortmund","Leverkusen"
"183",2024-04-20,"","Union Berlin","Bayern Munich"
"184",2024-04-20,"","Heidenheim","RB Leipzig"
"185",2024-04-20,"","Eint Frankfurt","Augsburg"
"186",2024-04-20,"","Hoffenheim","M'Gladbach"
"187",2024-04-20,"","Köln","Darmstadt 98"
"188",2024-04-20,"","Werder Bremen","Stuttgart"
"189",2024-04-20,"","Freiburg","Mainz 05"
"190",2024-04-27,"","M'Gladbach","Union Berlin"
"191",2024-04-27,"","Leverkusen","Stuttgart"
"192",2024-04-27,"","Mainz 05","Köln"
"193",2024-04-27,"","Augsburg","Werder Bremen"
"194",2024-04-27,"","Bayern Munich","Eint Frankfurt"
"195",2024-04-27,"","Darmstadt 98","Heidenheim"
"196",2024-04-27,"","Freiburg","Wolfsburg"
"197",2024-04-27,"","RB Leipzig","Dortmund"
"198",2024-04-27,"","Bochum","Hoffenheim"
"199",2024-05-04,"","Hoffenheim","RB Leipzig"
"200",2024-05-04,"","Union Berlin","Bochum"
"201",2024-05-04,"","Eint Frankfurt","Leverkusen"
"202",2024-05-04,"","Stuttgart","Bayern Munich"
"203",2024-05-04,"","Werder Bremen","M'Gladbach"
"204",2024-05-04,"","Heidenheim","Mainz 05"
"205",2024-05-04,"","Köln","Freiburg"
"206",2024-05-04,"","Dortmund","Augsburg"
"207",2024-05-04,"","Wolfsburg","Darmstadt 98"
"208",2024-05-11,"","Köln","Union Berlin"
"209",2024-05-11,"","Bayern Munich","Wolfsburg"
"210",2024-05-11,"","Mainz 05","Dortmund"
"211",2024-05-11,"","Darmstadt 98","Hoffenheim"
"212",2024-05-11,"","Augsburg","Stuttgart"
"213",2024-05-11,"","Bochum","Leverkusen"
"214",2024-05-11,"","Freiburg","Heidenheim"
"215",2024-05-11,"","M'Gladbach","Eint Frankfurt"
"216",2024-05-11,"","RB Leipzig","Werder Bremen"
"217",2024-05-18,"15:30","Union Berlin","Freiburg"
"218",2024-05-18,"15:30","Werder Bremen","Bochum"
"219",2024-05-18,"15:30","Dortmund","Darmstadt 98"
"220",2024-05-18,"15:30","Stuttgart","M'Gladbach"
"221",2024-05-18,"15:30","Hoffenheim","Bayern Munich"
"222",2024-05-18,"15:30","Wolfsburg","Mainz 05"
"223",2024-05-18,"15:30","Leverkusen","Augsburg"
"224",2024-05-18,"15:30","Heidenheim","Köln"
"225",2024-05-18,"15:30","Eint Frankfurt","RB Leipzig"
"226",2023-09-30,"15:30","Köln","Stuttgart"
"227",2023-09-30,"15:30","Heidenheim","Union Berlin"
"228",2023-09-30,"15:30","Wolfsburg","Eint Frankfurt"
"229",2023-09-30,"15:30","Bochum","M'Gladbach"
"230",2023-09-30,"15:30","Mainz 05","Leverkusen"
"231",2023-09-30,"18:30","RB Leipzig","Bayern Munich"
"232",2023-10-01,"15:30","Darmstadt 98","Werder Bremen"
"233",2023-10-01,"17:30","Freiburg","Augsburg"
"234",2023-10-06,"20:30","M'Gladbach","Mainz 05"
"235",2023-10-07,"15:30","RB Leipzig","Bochum"
"236",2023-10-07,"15:30","Dortmund","Union Berlin"
"237",2023-10-07,"15:30","Augsburg","Darmstadt 98"
"238",2023-10-07,"15:30","Stuttgart","Wolfsburg"
"239",2023-10-07,"18:30","Werder Bremen","Hoffenheim"
"240",2023-10-08,"15:30","Leverkusen","Köln"
"241",2023-10-08,"17:30","Bayern Munich","Freiburg"
"242",2023-10-08,"19:30","Eint Frankfurt","Heidenheim"
"243",2023-10-20,"20:30","Dortmund","Werder Bremen"
"244",2023-10-21,"15:30","Freiburg","Bochum"
"245",2023-10-21,"15:30","Darmstadt 98","RB Leipzig"
"246",2023-10-21,"15:30","Wolfsburg","Leverkusen"
"247",2023-10-21,"15:30","Union Berlin","Stuttgart"
"248",2023-10-21,"15:30","Hoffenheim","Eint Frankfurt"
"249",2023-10-21,"18:30","Mainz 05","Bayern Munich"
"250",2023-10-22,"15:30","Köln","M'Gladbach"
"251",2023-10-22,"17:30","Heidenheim","Augsburg"
"252",2023-10-28,"","M'Gladbach","Heidenheim"
"253",2023-10-28,"","Leverkusen","Freiburg"
"254",2023-10-28,"","Werder Bremen","Union Berlin"
"255",2023-10-28,"","Augsburg","Wolfsburg"
"256",2023-10-28,"","Stuttgart","Hoffenheim"
"257",2023-10-28,"","Bayern Munich","Darmstadt 98"
"258",2023-10-28,"","RB Leipzig","Köln"
"259",2023-10-28,"","Bochum","Mainz 05"
"260",2023-10-28,"","Eint Frankfurt","Dortmund"
