"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"53","Serie A","M","ITA",2013,NA,"14","Sun",2012-11-25,NA,"Sampdoria",1,"Bologna",0,NA,NA,"Domenico Celi","","https://fbref.com/en/matches/e0d4ae88/Sampdoria-Bologna-November-25-2012-Serie-A",NA,NA
"54","Serie A","M","ITA",2013,NA,"14","Sun",2012-11-25,NA,"Torino",2,"Fiorentina",2,NA,NA,"Antonio Damato","","https://fbref.com/en/matches/734ca415/Torino-Fiorentina-November-25-2012-Serie-A",NA,NA
"55","Serie A","M","ITA",2013,NA,"14","Sun",2012-11-25,NA,"Milan",1,"Juventus",0,NA,NA,"Nicola Rizzoli","","https://fbref.com/en/matches/14029d94/Milan-Juventus-November-25-2012-Serie-A",NA,NA
"56","Serie A","M","ITA",2013,NA,"14","Sun",2012-11-25,NA,"Chievo",0,"Siena",0,NA,NA,"Davide Massa","","https://fbref.com/en/matches/0601f3ac/Chievo-Siena-November-25-2012-Serie-A",NA,NA
"57","Serie A","M","ITA",2013,NA,"14","Sun",2012-11-25,NA,"Atalanta",0,"Genoa",1,NA,NA,"Daniele Doveri","","https://fbref.com/en/matches/b4b25968/Atalanta-Genoa-November-25-2012-Serie-A",NA,NA
"58","Serie A","M","ITA",2013,NA,"14","Mon",2012-11-26,NA,"Parma",1,"Inter",0,NA,NA,"Luca Banti","","https://fbref.com/en/matches/e35f3954/Parma-Internazionale-November-26-2012-Serie-A",NA,NA
"59","Serie A","M","ITA",2013,NA,"14","Mon",2012-11-26,NA,"Cagliari",0,"Napoli",1,NA,NA,"Antonio Giannoccaro","","https://fbref.com/en/matches/8aa2b89e/Cagliari-Napoli-November-26-2012-Serie-A",NA,NA
"60","Serie A","M","ITA",2013,NA,"14","Tue",2012-11-27,NA,"Lazio",3,"Udinese",0,NA,NA,"Gianpaolo Calvarese","","https://fbref.com/en/matches/126c4dc1/Lazio-Udinese-November-27-2012-Serie-A",NA,NA
"61","Serie A","M","ITA",2013,NA,"15","Fri",2012-11-30,NA,"Catania",1,"Milan",3,NA,NA,"Daniele Orsato","","https://fbref.com/en/matches/53fa37ff/Catania-Milan-November-30-2012-Serie-A",NA,NA
"62","Serie A","M","ITA",2013,NA,"15","Sat",2012-12-01,NA,"Juventus",3,"Torino",0,NA,NA,"Gianluca Rocchi","","https://fbref.com/en/matches/dee28c9b/Juventus-Torino-December-1-2012-Serie-A",NA,NA
"63","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Fiorentina",2,"Sampdoria",2,NA,NA,"Paolo Valeri","","https://fbref.com/en/matches/06687a65/Fiorentina-Sampdoria-December-2-2012-Serie-A",NA,NA
"64","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Inter",1,"Palermo",0,NA,NA,"Mauro Bergonzi","","https://fbref.com/en/matches/6e32cd44/Internazionale-Palermo-December-2-2012-Serie-A",NA,NA
"65","Serie A","M","ITA",2013,NA,"15","Sun",2012-12-02,NA,"Genoa",2,"Chievo",4,NA,NA,"Paolo Tagliavento","","https://fbref.com/en/matches/65eab3fc/Genoa-Chievo-December-2-2012-Serie-A",NA,NA
