,Unnamed: 0,Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL,Home_xG,Away_xG,advanced_match_stats_path,Home_Formation,Away_Formation,advanced_stat_needed
337,338,Fußball-Bundesliga,M,GER,2011,,12.0,Sat,2010-11-13,,Köln,0,M'Gladbach,4,,,Peter Gagelmann,,https://fbref.com/en/matches/4d9dda62/Koln-Monchengladbach-November-13-2010-Bundesliga,,,Koln-Monchengladbach-November-13-2010-Bundesliga,4-2-3-1,4-4-1-1,0.0
338,339,Fußball-Bundesliga,M,GER,2011,,12.0,Sat,2010-11-13,,Wolfsburg,2,Schalke 04,2,,,Wolfgang Stark,,https://fbref.com/en/matches/5afbe088/Wolfsburg-Schalke-04-November-13-2010-Bundesliga,,,Wolfsburg-Schalke-04-November-13-2010-Bundesliga,4-1-2-1-2,4-4-2,0.0
339,340,Fußball-Bundesliga,M,GER,2011,,12.0,Sat,2010-11-13,,Werder Bremen,0,Eint Frankfurt,0,,,Manuel Gräfe,,https://fbref.com/en/matches/a72fac26/Werder-Bremen-Eintracht-Frankfurt-November-13-2010-Bundesliga,,,Werder-Bremen-Eintracht-Frankfurt-November-13-2010-Bundesliga,4-1-2-1-2,4-2-3-1,0.0
340,341,Fußball-Bundesliga,M,GER,2011,,12.0,Sun,2010-11-14,,Hoffenheim,0,Freiburg,1,,,Felix Zwayer,,https://fbref.com/en/matches/5d1cbbda/Hoffenheim-Freiburg-November-14-2010-Bundesliga,,,Hoffenheim-Freiburg-November-14-2010-Bundesliga,4-4-2,4-1-4-1,0.0
341,342,Fußball-Bundesliga,M,GER,2011,,12.0,Sun,2010-11-14,,Bayern Munich,3,Nürnberg,0,,,Thorsten Kinhöfer,,https://fbref.com/en/matches/d3767a5d/Bayern-Munich-Nurnberg-November-14-2010-Bundesliga,,,Bayern-Munich-Nurnberg-November-14-2010-Bundesliga,4-2-3-1,4-1-4-1,0.0
342,343,Fußball-Bundesliga,M,GER,2011,,13.0,Sat,2010-11-20,,Leverkusen,1,Bayern Munich,1,,,Florian Meyer,,https://fbref.com/en/matches/021de23c/Bayer-Leverkusen-Bayern-Munich-November-20-2010-Bundesliga,,,Bayer-Leverkusen-Bayern-Munich-November-20-2010-Bundesliga,4-2-3-1,4-2-3-1,0.0
343,344,Fußball-Bundesliga,M,GER,2011,,13.0,Sat,2010-11-20,,Eint Frankfurt,0,Hoffenheim,4,,,Markus Wingenbach,,https://fbref.com/en/matches/22bebad7/Eintracht-Frankfurt-Hoffenheim-November-20-2010-Bundesliga,,,Eintracht-Frankfurt-Hoffenheim-November-20-2010-Bundesliga,4-2-3-1,4-3-3,0.0
344,345,Fußball-Bundesliga,M,GER,2011,,13.0,Sat,2010-11-20,,M'Gladbach,2,Mainz 05,3,,,Babak Rafati,,https://fbref.com/en/matches/2bc7d91f/Monchengladbach-Mainz-05-November-20-2010-Bundesliga,,,Monchengladbach-Mainz-05-November-20-2010-Bundesliga,4-4-1-1,4-4-2,0.0
345,346,Fußball-Bundesliga,M,GER,2011,,13.0,Sat,2010-11-20,,Schalke 04,4,Werder Bremen,0,,,Knut Kircher,,https://fbref.com/en/matches/5c16b699/Schalke-04-Werder-Bremen-November-20-2010-Bundesliga,,,Schalke-04-Werder-Bremen-November-20-2010-Bundesliga,4-4-2,4-1-2-1-2,0.0
346,347,Fußball-Bundesliga,M,GER,2011,,13.0,Sat,2010-11-20,,Hannover 96,3,Hamburger SV,2,,,Jochen Drees,,https://fbref.com/en/matches/62ecab7c/Hannover-96-Hamburger-SV-November-20-2010-Bundesliga,,,Hannover-96-Hamburger-SV-November-20-2010-Bundesliga,4-4-2,4-4-2,0.0
347,348,Fußball-Bundesliga,M,GER,2011,,13.0,Sat,2010-11-20,,Nürnberg,1,Kaiserslautern,3,,,Tobias Welz,,https://fbref.com/en/matches/91090a41/Nurnberg-Kaiserslautern-November-20-2010-Bundesliga,,,Nurnberg-Kaiserslautern-November-20-2010-Bundesliga,4-2-3-1,4-1-4-1,0.0
348,349,Fußball-Bundesliga,M,GER,2011,,13.0,Sat,2010-11-20,,Freiburg,1,Dortmund,2,,,Marco Fritz,,https://fbref.com/en/matches/a73593a0/Freiburg-Dortmund-November-20-2010-Bundesliga,,,Freiburg-Dortmund-November-20-2010-Bundesliga,4-1-4-1,4-2-3-1,0.0
349,350,Fußball-Bundesliga,M,GER,2011,,13.0,Sun,2010-11-21,,Stuttgart,0,Köln,1,,,Christian Dingert,,https://fbref.com/en/matches/38685c00/Stuttgart-Koln-November-21-2010-Bundesliga,,,Stuttgart-Koln-November-21-2010-Bundesliga,4-4-2,4-2-3-1,0.0
350,351,Fußball-Bundesliga,M,GER,2011,,13.0,Sun,2010-11-21,,St. Pauli,1,Wolfsburg,1,,,Markus Schmidt,,https://fbref.com/en/matches/9c0afdcf/St-Pauli-Wolfsburg-November-21-2010-Bundesliga,,,St-Pauli-Wolfsburg-November-21-2010-Bundesliga,4-1-4-1,4-2-3-1,0.0
